cost_code,category,element_name,element_description,cost_trigger,applies_to_cancellation,applies_to_delay,lean_waste_category,lean_waste_description,delay_stream,cost_bearer,cost_type
C4,Cancellation,Ground handling setup cost,"Ground crew mobilised at gate before cancellation decision. Baggage handlers, marshaller, fueller already on station. IATA ACMG: ground ops approximately 20% of total cycle cost.",per_event,True,False,Unconverted/Overkill Capacity,Resources committed and consumed that produced zero value for the customer,,Carrier,cash_cost
C5,Cancellation,Airport gate and terminal fee,"Gate slot already committed — fee payable regardless of operation. IATA ACMG: airport charges approximately 8% of total cycle cost. At slot-constrained airports (YSSY, YMML) slot forfeiture has additional value.",per_event,True,False,Unconverted/Overkill Capacity,Resources committed and consumed that produced zero value for the customer,,Carrier,cash_cost
DD1,Departure Delay,Extra fuel burn at gate and taxi,Aircraft burning fuel while holding at gate or taxiing during departure delay. At-gate fuel burn approximately 20% of cruise rate. EUROCONTROL Table 12.1: derived from per-hour operating cost.,per_departure_delay_minute,False,True,Unconverted/Overkill Capacity,Resources committed and consumed that produced zero value for the customer,departure,Carrier,cash_cost
C10,Cancellation,Passenger time value lost — cancellation,"Economic cost of passenger time lost waiting for next available flight. ABS AWE proxy: AUD $47.00/hr (2023), $48.74/hr (2024), $50.76/hr (2025). Wait time: Low=2hrs, Base=4hrs, High=8hrs. NOT a carrier cash cost — social/passenger economic cost.",per_passenger_per_hour,True,False,Waiting,Time lost with zero output — passengers and crew sitting idle,,Social/Passenger,social_cost
DA5,Arrival Delay,Passenger time value lost — arrival delay,Economic cost of passenger time lost at destination due to late arrival. ABS AWE proxy per minute per passenger. Arrival delay is the passenger-experienced metric — measured at destination gate. NOT a carrier cash cost — social/passenger economic cost.,per_arrival_delay_minute_per_passenger,False,True,Waiting,Time lost with zero output — passengers and crew sitting idle,arrival,Social/Passenger,social_cost
C6,Cancellation,Passenger rebooking labour cost,Reservations staff time to rebook all affected passengers. Estimated 15 minutes per passenger at ABS call centre wage AUD $32/hr. Increases with load factor and route frequency constraints.,per_passenger,True,False,Rework,Activities that only exist because something failed — non-value-adding recovery,,Carrier,cash_cost
C7,Cancellation,Passenger rebooking fare differential,When rebooking on competitor at full fare because own next flight is full. Australia has no mandatory compensation — this is voluntary airline policy. Low: own seat available. High: competitor full fare.,per_passenger,True,False,Rework,Activities that only exist because something failed — non-value-adding recovery,,Carrier,cash_cost
C8,Cancellation,Passenger care — meals and vouchers,Meal vouchers for extended delays — airline voluntary policy. Australia has NO mandatory compensation framework unlike EU EC261. Qantas and Virgin publish meal voucher policies voluntarily.,per_passenger,True,False,Rework,Activities that only exist because something failed — non-value-adding recovery,,Carrier,cash_cost
C9,Cancellation,Passenger care — accommodation,Hotel costs for overnight cancellations away from home port. Estimated 15% of cancellations trigger overnight stay requirement. Sydney average hotel AUD $180/night blended to per-passenger cost.,per_passenger,True,False,Rework,Activities that only exist because something failed — non-value-adding recovery,,Carrier,cash_cost
C12,Cancellation,Cargo and freight rerouting cost,Time-sensitive freight on cancelled flight must be rerouted. Minor cost on domestic routes — cargo secondary to passenger. Estimated AUD $150-500 per event for rerouting administration.,per_cancelled_sector,True,False,Rework,Activities that only exist because something failed — non-value-adding recovery,,Carrier,cash_cost
DA6,Arrival Delay,Missed connection cost,Passengers missing connecting flights due to late arrival. Connection rate 8% derived from BITRE data: 17.7% connection prevalence x 45% miss probability at 30min delay. BITRE Domestic Activity 2024: ~61M domestic passengers. BITRE International Activity 2024: ~40.2M international passengers. Cost per missed connection: Low=$0 Base=$180 High=$450 AUD.,per_affected_connecting_passenger,False,True,Rework,Activities that only exist because something failed — non-value-adding recovery,arrival,Carrier,cash_cost
C1,Cancellation,Aircraft lease/ownership cost,Sunk capital cost — aircraft positioned and ready but produced zero value. Monthly lease or depreciation accrues regardless. Represents opportunity cost of capital deployed with zero productive output.,per_cancelled_sector,True,False,Unconverted/Overkill Capacity,Resources committed and consumed that produced zero value for the customer,,Carrier,opportunity_cost
C2,Cancellation,Flight crew cost — pilots,"Captain and First Officer on duty from report time. Salary cost accrues regardless of whether flight operates. Fair Work Commission Qantas EA 2024: Captain AUD $200-300k, FO AUD $111-168k.",per_duty_hour,True,False,Unconverted/Overkill Capacity,Resources committed and consumed that produced zero value for the customer,,Carrier,cash_cost
C3,Cancellation,Cabin crew cost,"Flight attendants on duty from report time. ABS transport sector AWE applied. Count varies by aircraft: B738=4, A320=4, B717=3, turboprops=1.",per_duty_hour,True,False,Unconverted/Overkill Capacity,Resources committed and consumed that produced zero value for the customer,,Carrier,cash_cost
DD2,Departure Delay,Crew overtime — ground phase,Departure delay extends crew duty time beyond scheduled block. CASA regulations limit total duty hours — overtime triggered when delay pushes crew toward regulatory limits. Low: within rostered hours. Base: 50% of delay minutes trigger overtime.,per_departure_delay_minute,False,True,Overburden/Unevenness,"System pushed beyond reliable limits or loaded unevenly — causes stress on people, equipment and network reliability",departure,Carrier,cash_cost
DD8,Departure Delay,In-flight recovery fuel premium,Additional fuel burned when pilots increase cruise speed to recover departure delay and arrive on time. Applies only to airlines where arrivals_delayed < departures_delayed (negative net enroute delay). Boeing 737 performance data: approximately 8-12% additional fuel burn at recovery cruise speed. Quantifies hidden cost of masking ground failures.,per_recovery_sector,False,True,Overburden/Unevenness,"System pushed beyond reliable limits or loaded unevenly — causes stress on people, equipment and network reliability",departure,Carrier,cash_cost
C11,Cancellation,Network reactionary cost multiplier,Downstream disruption to subsequent rotations on same aircraft. EUROCONTROL: approximately 50% of all delay is reactionary. One cancellation disrupts average 1.8 subsequent sectors.,per_cancelled_sector,True,False,Overburden/Unevenness,"System pushed beyond reliable limits or loaded unevenly — causes stress on people, equipment and network reliability",,Carrier,cash_cost
DD3,Departure Delay,Extended ground handling,"Ground crew retained beyond scheduled turnaround completion. Baggage handlers, marshaller, cleaning crew on extended shift. IATA ACMG: ground ops approximately 15% of per-minute operating cost.",per_departure_delay_minute,False,True,Overburden/Unevenness,"System pushed beyond reliable limits or loaded unevenly — causes stress on people, equipment and network reliability",departure,Carrier,cash_cost
DD4,Departure Delay,Extended gate and terminal occupation,Airport charges for extended gate use beyond scheduled block. Significant at slot-constrained airports — Sydney YSSY and Melbourne YMML. Zero at uncongested regional airports.,per_departure_delay_minute,False,True,Overburden/Unevenness,"System pushed beyond reliable limits or loaded unevenly — causes stress on people, equipment and network reliability",departure,Carrier,cash_cost
DD7,Departure Delay,Reactionary propagation — next sector,Departure delay reduces buffer available for next sector rotation. EUROCONTROL: approximately 50% of all delay is reactionary. Per primary departure delay minute generates 0.5 downstream delay minutes.,per_departure_delay_minute,False,True,Overburden/Unevenness,"System pushed beyond reliable limits or loaded unevenly — causes stress on people, equipment and network reliability",departure,Carrier,cash_cost
