airline,year,cancellations,dep_delayed,arr_delayed,avg_pax,cancel_carrier_aud,cancel_pax_carrier_aud,cancel_social_aud,dep_delay_carrier_aud,arr_delay_social_aud,arr_delay_conn_carrier_aud,dd8_cost,total_carrier_aud,total_social_aud,grand_total_aud
Virgin Australia,2023,11599,86312,89052,141.0,94959969.0,343446390.0,307466292.0,158934917.0,293818169.0,180811181.0,0.0,778152457.0,601284461.0,1379436918.0
QantasLink,2023,8933,56204,56593,63.0,29380548.0,118183590.0,105802452.0,68574500.0,83429401.0,51341170.0,0.0,267479808.0,189231853.0,456711661.0
Jetstar,2023,8404,53833,51244,146.0,66421770.0,257666640.0,230672992.0,103407810.0,175070002.0,107735386.0,1303561.5,536535167.5,405742994.0,942278161.5
Qantas,2023,6349,51692,52383,141.0,51978692.0,187993890.0,168299292.0,95185649.0,172832470.0,106358443.0,0.0,441516674.0,341131762.0,782648436.0
Rex Airlines,2023,1982,24417,27331,28.0,3075588.0,11654160.0,10433248.0,22158428.0,17907271.0,11019859.0,0.0,47908035.0,28340519.0,76248554.0
Virgin Australia Regional Airlines,2023,520,3381,3195,55.0,1413937.0,6006000.0,5376800.0,3747839.0,4111965.0,2530440.0,21058.92,13719274.92,9488765.0,23208039.92
Bonza,2023,177,485,468,141.0,1449083.0,5240970.0,4691916.0,893079.0,1544119.0,950227.0,9000.99,8542359.99,6236035.0,14778394.99
Skytrans,2023,153,717,698,29.0,211545.0,931770.0,834156.0,639492.0,473663.0,291485.0,1223.2199999999998,2075515.22,1307819.0,3383334.2199999997
QantasLink,2024,8061,53408,55918,63.0,27722424.0,106647030.0,99009071.0,65948198.0,85604866.0,50728810.0,0.0,251046462.0,184613937.0,435660399.0
Qantas,2024,5581,45375,46909,141.0,47900384.0,165253410.0,153418118.0,84751425.0,160724307.0,95244034.0,0.0,393149253.0,314142425.0,707291678.0
Virgin Australia,2024,5574,70758,74491,141.0,47840304.0,165046140.0,153225693.0,132161792.0,255228513.0,151246526.0,0.0,496294762.0,408454206.0,904748968.0
Jetstar,2024,3412,47289,43815,146.0,28262108.0,104611920.0,97119714.0,92412164.0,155446857.0,92116656.0,1623087.54,319025935.54,252566571.0,571592506.54
Rex Airlines,2024,1820,18841,21409,28.0,2933458.0,10701600.0,9935162.0,17211254.0,14566684.0,8632109.0,0.0,39478421.0,24501846.0,63980267.0
Skytrans,2024,728,1642,1597,29.0,1044032.0,4433520.0,4115996.0,1470904.0,1125406.0,666907.0,2688.3,7618051.3,5241402.0,12859453.3
Virgin Australia Regional Airlines,2024,221,2639,2349,55.0,627459.0,2552550.0,2369739.0,2957000.0,3139439.0,1860408.0,30467.4,8027884.4,5509178.0,13537062.4
Hinterland,2024,143,907,1393,10.0,94574.0,300300.0,278793.0,666373.0,338499.0,200592.0,0.0,1261839.0,617292.0,1879131.0
Bonza,2024,86,603,576,141.0,738117.0,2546460.0,2364085.0,1126283.0,1973549.0,1169510.0,13265.37,5593635.37,4337634.0,9931269.370000001
QantasLink,2025,8514,51216,51433,63.0,31032168.0,112640220.0,108907001.0,64685808.0,82627115.0,46660018.0,0.0,255018214.0,191534116.0,446552330.0
Virgin Australia,2025,4751,63763,67123,141.0,43354633.0,140677110.0,136014669.0,122769280.0,241340747.0,136286539.0,0.0,443087562.0,377355416.0,820442978.0
Qantas,2025,4738,34261,38518,141.0,43236003.0,140292180.0,135642496.0,65966129.0,138491469.0,78206947.0,0.0,327701259.0,274133965.0,601835224.0
Jetstar,2025,4031,46097,43367,146.0,35486667.0,123590460.0,119494319.0,93097501.0,161455341.0,91174781.0,1238328.0,344587737.0,280949660.0,625537397.0
Rex Airlines,2025,1818,16319,18163,28.0,3079856.0,10689840.0,10335548.0,15098339.0,12968382.0,7323322.0,0.0,36191357.0,23303930.0,59495287.0
Skytrans,2025,517,799,867,29.0,777909.0,3148530.0,3044179.0,723894.0,641147.0,362059.0,0.0,5012392.0,3685326.0,8697718.0
Hinterland,2025,154,1367,2126,10.0,105473.0,323400.0,312682.0,1009256.0,542130.0,306144.0,0.0,1744273.0,854812.0,2599085.0
Virgin Australia Regional Airlines,2025,50,1371,1203,55.0,150190.0,577500.0,558360.0,1567464.0,1687208.0,952776.0,17136.0,3265066.0,2245568.0,5510634.0
