airport,annual_cancellations,annual_delayed,num_routes,layer_a_carrier_m,layer_b_cascade_m,layer_c_pax_time_m,total_m
Sydney,7984.0,49538.66666666666,23,177.47189032,206.73510753168,457.6094716266667,841.8164694783466
Melbourne,6452.222222222223,42764.0,16,149.40440891111112,124.14818892672002,381.7920083466667,655.3446061844978
Brisbane,3565.777777777778,32770.22222222222,19,102.58967919555556,112.97310683736,251.08807648888887,466.65086252180447
Perth,1226.0,13239.777777777776,11,39.59542671333333,26.42502858996,94.98586696444444,161.00632226773777
Adelaide,1292.0,12357.777777777776,10,38.23234689333333,22.422419124,93.10152580444444,153.75629182177775
Canberra,1419.111111111111,7879.111111111111,5,29.51520312888889,7.1480785152,77.27372871111112,113.9370103552
Gold Coast,996.0,9421.333333333334,5,29.24259208,8.5472116632,71.30992197333333,109.09972571653331
Cairns,452.6666666666667,6022.0,6,17.10358351333333,6.555926658959999,40.04507052,63.70458069229333
Hobart,372.0,5310.666666666667,3,14.84851436,2.89076230296,34.496523706666665,52.235800369626666
Launceston,259.77777777777777,3158.0,3,9.162601948888888,1.71899837172,21.67389345333333,32.555493773942224
Sunshine Coast,205.77777777777777,3226.8888888888887,2,8.847450895555555,1.17099783528,20.351358155555555,30.36980688639111
Townsville,253.33333333333331,2763.555555555556,4,8.242609733333333,2.0057198649600005,19.74915464888889,29.997484247182225
Newcastle,240.88888888888889,2260.6666666666665,2,7.033187704444444,0.8203678106400001,17.168023773333335,25.02157928841778
Darwin,122.0,2494.0,6,6.518291860000001,2.7151247239200003,14.61461404,23.84803062392
Rockhampton,182.44444444444449,1885.7777777777776,1,5.707201195555555,0.34216264824,13.764452577777776,19.81381642157333
Mackay,133.77777777777777,1836.4444444444443,1,5.179019502222222,0.33321142176,12.083631964444445,17.595862888426666
Karratha,154.0,1283.5555555555557,1,4.141998186666666,0.23289317184,10.26601656888889,14.640907927395556
Port Lincoln,205.33333333333331,974.0,1,3.9067465266666654,0.17672624172,10.45226364,14.535736408386668
Port Hedland,154.0,1261.5555555555557,1,4.093788486666666,0.22890140868,10.16948012888889,14.492170024235556
Ballina,130.88888888888889,1214.888888888889,1,3.792037771111111,0.22043403228,9.269309168888888,13.28178097228
Dubbo,121.55555555555556,1173.3333333333333,1,3.620412657777778,0.2128940352,8.80612928,12.63943597297778
Kalgoorlie,137.55555555555554,1021.7777777777778,1,3.4264082711111112,0.18539522232,8.622528951111113,12.234332444542224
Mildura,79.11111111111111,1306.4444444444443,1,3.545738828888889,0.23704621836,8.113100724444443,11.895885771693331
Gladstone,155.55555555555554,848.4444444444445,1,3.201944511111111,0.15394496712,8.403545857777779,11.75943533600889
Broome,100.88888888888889,1136.888888888889,1,3.362162071111111,0.2062814174400001,8.024365208888888,11.59280869744
Coffs Harbour,96.88888888888889,1118.4444444444443,1,3.287217117777778,0.20293478772,7.823073497777777,11.313225403275554
Port Macquarie,120.88888888888889,956.4444444444443,1,3.1393787377777778,0.17354089536,7.834356977777778,11.147276610915556
Newman,128.0,850.6666666666666,1,2.96896344,0.15434817552,7.584170186666666,10.707481802186669
Albury,81.33333333333333,1054.2222222222222,1,3.012213173333333,0.19128206496,7.073209635555556,10.276704873848889
Hamilton Island,50.44444444444444,1130.4444444444443,2,2.9126197355555554,0.41022422616,6.478249844444444,9.80109380616
Wagga Wagga,93.55555555555556,909.7777777777778,1,2.801183151111111,0.16507351896,6.807142391111111,9.773399061182223
Armidale,98.44444444444444,547.5555555555555,1,2.0496268088888887,0.09935054976,5.364807182222223,7.513784540871112
Emerald,82.44444444444444,579.7777777777778,1,1.982130095555556,0.10519707156,5.0247704577777785,7.112097624893334
Proserpine,44.44444444444444,733.7777777777778,2,1.991594155555556,0.2662788273600001,4.5571328977777785,6.815005880693334
Devonport,61.333333333333336,378.44444444444446,1,1.35871394,0.06866639052,3.506097631111111,4.933477961631111
Alice Springs,21.77777777777778,414.8888888888889,2,1.0971455755555557,0.15055801656,2.475818395555556,3.723521987671112
Mount Isa,20.88888888888889,375.77777777777777,1,1.0037668377777778,0.06818254044,2.277452031111111,3.349401409328889
Tamworth,16.0,164.88888888888889,1,0.4994361466666667,0.02991806328,1.2049642222222223,1.734318432168889
Ayers Rock,2.0,140.88888888888889,2,0.3260002266666666,0.05112682512,0.6784018222222223,1.055528874008889
Bundaberg,4.222222222222222,83.11111111111111,1,0.2185704044444444,0.01507999416,0.4917368444444445,0.7253872430488889
Geraldton,6.666666666666667,59.77777777777778,1,0.1885385666666666,0.01084630596,0.4629012844444444,0.6622861570711112
